7-eleven	seven eleven
Nhon	n h o n
ect	e c t
XHMPM-	x h m p m
ALOS	a l o s
JBM	j b m
Ecto-	e c t o
GTV	g t v
Aarle	a a r l e
Z.Z.	z z
SDDOT	s d d o t
FTEIS	f t e i s
MEPI	m e p i
Uka	u k a
sgnal	s g n a l
Raas	r a a's
DICTADURA	d i c t a d u r a
SiCF	s i c f
WKEF-	w k e f
SDSM&T's	s d s m and t's
XEPAV	x e p a v
KCSD-	k c s d
Oyu	o y u
DUAFC	d u a f c
TAS-	t a s
EHEC	e h e c
XEPRS-	x e p r s
xhu	x h u
XHPSP-	x h p s p
Saaru	s a a r u
A.C.T.	a c t
MBAR-	m b a r
Aadu	a a d u
pcl	p c l
EJMA	e j m a
XHQTO	x h q t o
CTAF	c t a f
C. H. M.	c h m
AELC	a e l c
NSV	n s v
Awo	a w o
GVBA	g v b a
YCC	y c c
BKO	b k o
Iht	i h t
Dépot	d e acute p o t
LBE	l b e
Khru	k h r u
Xes	x e's
KOMU-	k o m u
XHRM	x h r m
ISRN	i s r n
Fyge	f y g e
ARDFINNAN	a r d f i n n a n
VLCCs	v l c c's
VEM-	v e m
XERPL	x e r p l
O.G.S.	o g s
MEH	m e h
EVERGRANDE	e v e r g r a n d e
tou	t o u
TLO	t l o
GSL	g s l
SCBWI	s c b w i
Nuwa	n u w a
S&L	s and l
NVT	n v t
W. R. G.	w r g
LBW	l b w
Q. E.	q e
XHTGZ	x h t g z
plo	p l o
'ra	r a
AADTs	a a d t's
VKS	v k s
ABSP	a b s p
JABALLAH	j a b a l l a h
MAQ	m a q
GVJZ	g v j z
KLISF	k l i s f
XETOT-	x e t o t
oC	o c
BSME	b s m e
Sewi	s e w i
MWI	m w i
PAREGGIA	p a r e g g i a
CNI	c n i
PHEV	p h e v
AfNS	a f n s
XHUAH-	x h u a h
MXR	m x r
CMC-	c m c
SEAZA	s e a z a
Sfax	s f a x
OFV	o f v
MXS-	m x s
XHUPC	x h u p c
XHUTG	x h u t g
CKThe	c k t h e
LPDA	l p d a
XHVFC	x h v f c
AMARC	a m a r c
myb	m y b
NMDOT	n m d o t
XEWN-	x e w n
RSPCA	r s p c a
SMMT	s m m t
NM-	n m
ASPTS	a s p t s
ACC&S	a c c and s
hlutr	h l u t r
YG-	y g
C. A. N.	c a n
GAAP	g a a p
Uulu	u u l u
BDBL	b d b l
i'r	i r
IXb	i x b
GiMA	g i m a
FZAB	f z a b
Siou	s i o u
DAGGRE	d a g g r e
STINKWEEN	s t i n k w e e n
BISD	b i s d
Nkasa	n k a s a
Calsarcin-	c a l s a r c i n
MYOZ	m y o z
SQI	s q i
DWR	d w r
MYST	m y s t
IPSC	i p s c
USPSA	u s p s a
PCAST	p c a s t
OSTP	o s t p
I. Y.	i y
ihi	i h i
CGU	c g u
PHSCC	p h s c c
CEPIS	c e p i s
Giaan	g i a a n
HG-	h g
BANMUN	b a n m u n
CUSD	c u s d
IWF	i w f
CB&CNS	c b and c n s
Utne	u t n e
CoF	c o f
F.E.A.R.s	f e a r's
FCNZ	f c n z
Frémy	f r e acute m y
OPD	o p d
cm-	c m
HQAA	h q a a
BADAC	b a d a c
kak	k a k
HSJ	h s j
DMT-	d m t
WDFN	w d f n
G.H.N.	g h n
SRT	s r t
Ilpo	i l p o
MCS	m c s
oci	o c i
Ogi	o g i
lié	l i e acute
SWADS	s w a d s
SFSU	s f s u
QT-	q t
Ilu	i l u
ilu	i l u
VMO-	v m o
GVHSS	g v h s s
M.N.	m n
Kutb	k u t b
ECALC	e c a l c
Pysyk	p y s y k
SFCC	s f c c
AMSS	a m s s
ICSG	i c s g
AASU	a a s u
VNSA	v n s a
RoadCC	r o a d c c
Ottl	o t t l
Myo's	m y o's
URNU	u r n u
XLSC	x l s c
KANVAR	k a n v a r
SLDL	s l d l
LG-	l g
Xtra's	x t r a's
EPRI	e p r i
EXHIBITIONS	e x h i b i t i o n s
Giad	g i a d
H. U.	h u
Arijs	a r i j's
S.V.U.	s v u
Wuhu	w u h u
CSD's	c s d's
URCs	u r c's
bleg	b l e g
INEW	i n e w
PLA	p l a
CCC-	c c c
Vrouw	v r o u w
Aiyyaa	a i y y a a
OGT	o g t
PLX-	p l x
TVB's	t v b's
B.G.S.	b g s
pKas	p k a's
MCCs	m c c's
Idm	i d m
EMD's	e m d's
BIOGRAFIE	b i o g r a f i e
MApN	m a p n
YSY	y s y
CYSY	c y s y
SRZ-	s r z
wx	w x
A&I	a and i
XSD	x s d
JSHAA	j s h a a
cte	c t e
Nnewi	n n e w i
E. J. R.	e j r
J.B.L.D.	j b l d
XXE	x x e
lt	l t
GRD	g r d
TeV	t e v
tnbc	t n b c
IMMU-	i m m u
iXL	i x l
Mmusi	m m u s i
GB&NDR	g b and n d r
Aboh	a b o h
W. U.	w u
XEHOS-	x e h o s
R.V.G.	r v g
WBUR-	w b u r
SMPSs	s m p s's
XMMS	x m m s
XMODEM	x m o d e m
SPES	s p e s
FZ-	f z
FILMI	f i l m i
MUQADDAMA	m u q a d d a m a
MULAQAAT	m u l a q a a t
XMODS	x m o d s
WSLU	w s l u
Ané	a n e acute
WAOK	w a o k
padl	p a d l
B. Y.	b y
wys	w y s
SD-	s d
CPC's	c p c's
AFROTC	a f r o t c
UBU	u b u
ARD	a r d
JBG	j b g
ELIB	e l i b
AgN	a g n
CEFP	c e f p
Myr	m y r
Bléone	b l e acute o n e
KO'd	k o d
EKS	e k s
ETH	e t h
XOL	x o l
MSBO	m s b o
KOMRAD	k o m r a d
GOS-	g o s
SPASER	s p a s e r
SOIUSA	s o i u s a
XNOR	x n o r
Eccl	e c c l
A.E.G.I.S.	a e g i s
Stanl	s t a n l
K.K.E.	k k e
FLEC	f l e c
FNLC	f n l c
MAOIs	m a o i's
XOYO	x o y o
Huws	h u w's
H. H. B.	h h b
AZSTA's	a z s t a's
MCMC	m c m c
CCDev	c c d e v
WJLA	w j l a
ymer	y m e r
NYRA	n y r a
RTR	r t r
NP's	n p's
GAMSCAM	g a m s c a m
XPA	x p a
I.Y.	i y
ARTPOP	a r t p o p
GULLUBAG	g u l l u b a g
WZZM-	w z z m
ofo	o f o
N.E.R.	n e r
N.E.R.D.	n e r d
UAI	u a i
LVVI	l v v i
N.I.B.B.L.E.	n i b b l e
PCCS	p c c s
FTN	f t n
SSP	s s p
Volx	v o l x
MBGN	m b g n
RTL's	r t l's
HBase	h b a s e
PBCC	p b c c
Nul	n u l
VRMMORPG	v r m m o r p g
HENERAL	h e n e r a l
LLENN	l l e n n
QRP	q r p
XRCC	x r c c
UNC's	u n c's
XRDS	x r d s
WVSSAC	w v s s a c
DHBs	d h b's
KIL	k i l
USCITA	u s c i t a
DNIC	d n i c
sei	s e i
PCRC	p c r c
ZCE	z c e
ZCGWM	z c g w m
HTX	h t x
L'Wren	l w r e n
ASMSU	a s m s u
PFG	p f g
XTG	x t g
Ius	i u's
KCU	k c u
HUGEUX	h u g e u x
OSSARIO	o s s a r i o
pwll	p w l l
SAMAJIK	s a m a j i k
SANGSKRITIK	s a n g s k r i t i k
SONGOTHON	s o n g o t h o n
KHELAGHAR	k h e l a g h a r
UDICHI	u d i c h i
NEHS	n e h s
Iax	i a x
Cthaeh	c t h a e h
FAANP	f a a n p
Ibs	i b's
WVSU	w v s u
EcoCyc	e c o c y c
BMHS	b m h s
FJE	f j e
ATRP	a t r p
PSR	p s r
Iira	i i r a
LPB	l p b
EWLA	e w l a
XWA	x w a
NBD	n b d
I&M	i and m
DG-	d g
Pnau	p n a u
PICU	p i c u
LRTA	l r t a
KPPC-	k p p c
FDFL	f d f l
NCSU	n c s u
WBK	w b k
Maé	m a e acute
AASC	a a s c
débil	d e acute b i l
FDGB-	f d g b
UNMIL	u n m i l
KCLU	k c l u
brzu	b r z u
HULL&PROUD	h u l l and p r o u d
TNK-	t n k
PB-	p b
CMPSO	c m p s o
GNP	g n p
bus'	b u's
SBZ-	s b z
Zhob	z h o b
J.V.E.	j v e
Ijok	i j o k
tonw	t o n w
TTFF	t t f f
NFP	n f p
Hva	h v a
RPGA	r p g a
XYLT	x y l t
Adraa	a d r a a
LAAOs	l a a o's
UJA	u j a
EFV	e f v
CPNI	c p n i
XYP	x y p
WebMD	w e b m d
MRO	m r o
CTEQ	c t e q
GVP-	g v p
TRW	t r w
IIITM-	i i i t m
SCHISTACEA	s c h i s t a c e a
PASSERELLA	p a s s e r e l l a
ILIACA	i l i a c a
BGP-	b g p
KSU-	k s u
Nsaba	n s a b a
AIREAL	a i r e a l
EACEF	e a c e f
CIT-	c i t
Asdis	a s d i's
ZPAP	z p a p
PTAIN	p t a i n
JOV-	j o v
WABI	w a b i
oke	o k e
RWA	r w a
XVLLLe	x v l l l e
ISNTUC	i s n t u c
WCRC	w c r c
WTAE	w t a e
BoC	b o c
DBMS	d b m s
SQL-	s q l
ODBC	o d b c
JDBC	j d b c
WGP	w g p
CLD	c l d
cetvrt	c e t v r t
MIIMH	m i i m h
O.H.	o h
SLRUS	s l r u s
l'OGC	l o g c
NAB	n a b
ece	e c e
JGU	j g u
JGLS	j g l s
Bouw	b o u w
OMF	o m f
WSTR	w s t r
KCMO-	k c m o
KFOR	k f o r
KABL-	k a b l
IP-	i p
NEI	n e i
OSCP	o s c p
wjaz	w j a z
dyr	d y r
NQO	n q o
NRH	n r h
ECFU	e c f u
AMW	a m w
CEOs'	c e o's
GRCs	g r c's
MUSICAM	m u s i c a m
fiadh	f i a d h
NSN	n s n
Abstr	a b s t r
INQUA	i n q u a
GBLA-	g b l a
Tluszcz	t l u s z c z
DEJ	d e j
Guu	g u u
Baor	b a o r
HMIe	h m i e
Opr	o p r
RhoG	r h o g
BPOS	b p o s
L.H.M.	l h m
BRWK	b r w k
KMVQ-	k m v q
FHA-	f h a
OCRTIS	o c r t i s
MAOC-	m a o c
PML-	p m l
MPM	m p m
NEAC	n e a c
FROSTWORKS	f r o s t w o r k s
YTS	y t s
NLRP	n l r p
L.O.L.	l o l
OLC	o l c
EMSC	e m s c
CY	c y
pTA	p t a
usd	u s d
Ceva	c e v a
MOROBE	m o r o b e
OLs	o l's
nxt	n x t
GNEFA	g n e f a
WANFL	w a n f l
SCORM	s c o r m
OWU	o w u
FillerNARAM-	f i l l e r n a r a m
JUI-	j u i
TWU	t w u
PTY	p t y
APCRDA	a p c r d a
EARCOS	e a r c o s
PAT	p a t
NZLP	n z l p
OITC	o i t c
OLC's	o l c's
OMGUS	o m g u s
MIY-	m i y
KAMALPUR	k a m a l p u r
Q. N.	q n
SDIO	s d i o
ROVs	r o v's
HITURILE	h i t u r i l e
ULTIMILOR	u l t i m i l o r
CIFESA	c i f e s a
LANDOF	l a n d o f
WASTHUS	w a s t h u s
THEPERENNIAL	t h e p e r e n n i a l
THEITALIAN	t h e i t a l i a n
Gaoyi	g a o y i
Léih	l e acute i h
FT-	f t
OTI	o t i
Vaea	v a e a
R. J. J.	r j j
dsn	d s n
HWT	h w t
RAFM	r a f m
LSSR	l s s r
Ernszt	e r n s z t
ONC	o n c
PDHJ	p d h j
rs	r s
A.N.S.	a n s
OCTIP	o c t i p
Roxx	r o x x
ATU's	a t u's
BRNC	b r n c
F.W.S.	f w s
OTC's	o t c's
Krar	k r a r
TBCS	t b c s
RTNDA-	r t n d a
EDP	e d p
acte	a c t e
IKIRUN	i k i r u n
FMY	f m y
EBR-	e b r
Miia	m i i a
UBD	u b d
P.E.N.	p e n
neq	n e q
HHA	h h a
NRP	n r p
OSPD	o s p d
SMEJ's	s m e j's\
Beih	b e i h
NFISD	n f i s d
Tsao's	t s a o's
CIK-	c i k
KLOOSTERBOER	k l o o s t e r b o e r
STOPBDS	s t o p b d s
ADC's	a d c's
Xaar	x a a r
NMSII	n m s i i
NASUWT	n a s u w t
LCAS	l c a s
NAT	n a t
GIP	g i p
DHT	d h t
RQW	r q w
HKAA	h k a a
OGBESE	o g b e s e
odi	o d i
YF&R	y f and r
FN-	f n
Dlya	d l y a
Vsekh	v s e k h
SGB	s g b
ODP's	o d p's
O.F.	o f
Piétrus	p i e acute t r u's
G.D.O.D.	g d o d
VCOM	v c o m
DVBIC	d v b i c
NAMEADSMA	n a m e a d s m a
IIDS	i i d s
D. S. L.	d s l
VJTF	v j t f
Nawas	n a w a's
ANDOC	a n d o c
FRIENDSAN	f r i e n d s a n
MDAA	m d a a
RKO's	r k o's
IFAF	i f a f
IGD	i g d
AHTD	a h t d
NBASE-	n b a s e
OAHP	o a h p
DLM	d l m
ONIR	o n i r
MTTM	m t t m
VATURI	v a t u r i
IHSI	i h s i
OGTT	o g t t
opr	o p r
Jip	j i p
CUP's	c u p's
SHBT	s h b t
BDR	b d r
TVIn	t v i n
Fréménil	f r e acute m e acute n i l
eas	e a s
LFPB	l f p b
Frémy's	f r e acute m y's
VDCs	v d c's
WODI	w o d i
Z.L.	z l
Z.X.	z x
EPLF	e p l f
CBHG	c b h g
MADRS	m a d r s
HEKLA	h e k l a
VISX	v i s x
S.L.E.	s l e
EPSG	e p s g
SDS-	s d s
OPASS	o p a s s
BUET	b u e t
J.A.K.E.	j a k e
FMS-	f m s
HYQ	h y q
LKAB	l k a b
Jymn	j y m n
GPOPS-	g p o p s
WSAZ	w s a z
GRL	g r l
SCG	s c g
DVBE	d v b e
Ofuz	o f u z
sql	s q l
Ija	i j a
DEADLINEHOLLYWOODDAILY	d e a d l i n e h o l l y w o o d d a i l y
PSGC	p s g c
GARP's	g a r p's
XDH	x d h
STR-	s t r
DA	d a
EB-	e b
WMNF	w m n f
ES-	e s
DNG	d n g
B.J.T.	b j t
DACB	d a c b
AAALS	a a a l s
NRTI	n r t i
AABP	a a b p
DFD's	d f d's
T.H.I.N.K. B.I.G.	t h i n k b i g
DPAA's	d p a a's
ZNA	z n a
SALMOND	s a l m o n d
sg	s g
CSTI	c s t i
WMATA's	w m a t a's
DMOFD	d m o f d
RFT	r f t
Ua's	u a's
Plastin-	p l a s t i n
FLSW	f l s w
THSTI	t h s t i
LCVPs	l c v p's
M.F.A.	m f a
Csaky	c s a k y
CLIM	c l i m
FIO	f i o
Jisr	j i s r
LRTR	l r t r
RIESA	r i e s a
FRWT	f r w t
FRFT	f r f t
LDN	l d n
WAEC	w a e c
F. A. G.	f a g
BPP	b p p
OggS	o g g s
LJJ	l j j
Gbe	g b e
ABMC	a b m c
R. C. K.	r c k
MPLR	m p l r
L. T. B.	l t b
CHOM-	c h o m
SWD-	s w d
NCBiR	n c b i r
MSBS-	m s b s
SGPC	s g p c
AZT	a z t
R.O.C.K.	r o c k
kv	k v
W. J. J. O.	w j j o
I.A.E.	i a e
J.J.G.	j j g
SGAP	s g a p
Aécio	a e acute c i o
ISSUU	i s s u u
REGULAMENTO	r e g u l a m e n t o
COMPETICAO	c o m p e t i c a o
XV	x v
CMMI	c m m i
B. s	b's
PcoA	p c o a
DUCC	d u c c
Ebn	e b n
CCOO	c c o o
ATO's	a t o's
NAES	n a e s
LxI	l x i
Ehttp	e h t t p
JOSPT	j o s p t
OPTP	o p t p
APTA-	a p t a
KAES	k a e s
Tzuh	t z u h
UMWA's	u m w a's
SEK	s e k
MBK	m b k
BTC-	b t c
ECBL	e c b l
Tiec	t i e c
CWR	c w r
Lzzy	l z z y
FIJL	f i j l
Gasa	g a s a
Ogof	o g o f
noae	n o a e
ECML	e c m l
ECMLRUS	e c m l r u s
UCBTLA	u c b t l a
Sidd	s i d d
EBWs	e b w's
UNDERGROOVE	u n d e r g r o o v e
PF's	p f's
FRMN	f r m n
HRO	h r o
A.G.P.	a g p
SFSS	s f s s
SSWAHS	s s w a h s
RAOU	r a o u
DFLer	d f l e r
ACCJ	a c c j
C.H.G.	c h g
GISS	g i s s
EQP	e q p
NPH	n p h
CAPCONN	c a p c o n n
BKN's	b k n's
C&EN	c and e n
Bixa	b i x a
NBAs	n b a's
SCTP	s c t p
aen	a e n
XXIb	x x i b
hie	h i e
caeca	c a e c a
UKIP's	u k i p's
.I.o.	i o
O. D.	o d
STAATLICHES	s t a a t l i c h e s
TIERKUNDE	t i e r k u n d e
C.I.O.	c i o
NLRB	n l r b
mannosyl-	m a n n o s y l
Mpofu	m p o f u
Kyl	k y l
GLLI	g l l i
Z.W.	z w
AMFEST	a m f e s t
Ps	p's
IODs	i o d's
Ajba	a j b a
AASHTO	a a s h t o
PCU's	p c u's
TNNC	t n n c
ADM-	a d m
DCA-	d c a
DSCS	d s c s
UMCC	u m c c
WWDC-	w w d c
L.E.S.	l e s
KV-	k v
FPDs	f p d's
HDG	h d g
M.C.C.	m c c
ATV-	a t v
CFQ	c f q
ELV	e l v
d'a	d a
ULE	u l e
ACGIH's	a c g i h's
racw	r a c w
J. W. P.	j w p
DGCR	d g c r
DagR	d a g r
NSFE	n s f e
ROAME	r o a m e
NCHU	n c h u
VTOL	v t o l
SDMI	s d m i
HLE	h l e
ISAv	i s a v
PTB	p t b
NL's	n l's
RRDE	r r d e
EHL	e h l
CEDS	c e d s
MPEG	m p e g
DWG	d w g
RDFC	r d f c
Ilbe	i l b e
GWHS	g w h s
NCPC	n c p c
Hetq	h e t q
admn	a d m n
DfES	d f e s
Unst	u n s t
MEIKUP	m e i k u p
SALN	s a l n
BKF	b k f
T.O.'s	t o's
DFJ	d f j
IXe	i x e
CCH	c c h
IOCG	i o c g
Iyi	i y i
R.F.W.	r f w
SPCAs	s p c a's
NXP	n x p
KPWR	k p w r
WQHT	w q h t
TOBB	t o b b
RTVV	r t v v
R.M.K.	r m k
N. J. M.	n j m
CBOT	c b o t
BFC's	b f c's
UBPR	u b p r
REMA	r e m a
héros	h e acute r o's
H&A	h and a
NYCFC	n y c f c
AEP	a e p
SCCI	s c c i
MEOR	m e o r
H.S.H.	h s h
WNWO	w n w o
GEMO	g e m o
EGSC	e g s c
W&J	w and j
XSLT	x s l t
YBNL	y b n l
Is'	i's
CIRTEF	c i r t e f
HDDs	h d d's
NCSY	n c s y
CAE	c a e
channelrhodopsin-	c h a n n e l r h o d o p s i n
xbg	x b g
A.C.A.P.	a c a p
LOBACHEVA	l o b a c h e v a
IGERT	i g e r t
FHSAA	f h s a a
IOSR	i o s r
QPR's	q p r's
RIAZANOVA	r i a z a n o v a
Adaes	a d a e's
AFSCME	a f s c m e
LAF	l a f
JESTA	j e s t a
MHSC	m h s c
Olf	o l f
K. T. M.	k t m
CuSn	c u s n
LAHS	l a h s
WNR's	w n r's
S.R.G.	s r g
LIUNA	l i u n a
Syk	s y k
FCGR	f c g r
FYN	f y n
PTK	p t k
SFFAS	s f f a s
ISBHF	i s b h f
SSN-	s s n
NDUFS	n d u f s
NADH-	n a d h
FWCD	f w c d
PSST	p s s t
eep	e e p
Osei	o s e i
POA	p o a
RAFGSA	r a f g s a
Xbra	x b r a
GFSN	g f s n
MIF-	m i f
BOFA	b o f a
LBJ	l b j
KDD	k d d
NASILP	n a s i l p
XWF	x w f
juz	j u z
MJAHL	m j a h l
BMI's	b m i's
GEODSS	g e o d s s
SWWTP	s w w t p
ZnMgO	z n m g o
CDLS	c d l s
NACIRI	n a c i r i
hNedd	h n e d d
MRK	m r k
NH's	n h's
NHD	n h d
Cucu	c u c u
LACMA	l a c m a
ODHPW	o d h p w
P.D.S.	p d s
D.O.A.	d o a
RAKNIC	r a k n i c
MRSID	m r s i d
CCHS	c c h s
DQV	d q v
GALCK's	g a l c k's
RalB	r a l b
TBK	t b k
AHEPA's	a h e p a's
CKE	c k e
.USA	u s a
WBBP	w b b p
A. B. G.	a b g
pl	p l
GABRG	g a b r g
PTO	p t o
NEHST	n e h s t
ROMMELT	r o m m e l t
CQO	c q o
NEK	n e k
SEi	s e i
M.A.O.	m a o
CFMEU	c f m e u
CGCRI	c g c r i
NELINET	n e l i n e t
DMS-	d m s
ODOH	o d o h
mcyG	m c y g
UNIDROIT	u n i d r o i t
MLW	m l w
MLW-	m l w
MEKK	m e k k
Ibig	i b i g
Liias	l i i a's
GHSR	g h s r
BBWR's	b b w r's
ST's	s t's
BESKID	b e s k i d
LMDB	l m d b
dBa	d b a
bzhed	b z h e d
BGL	b g l
CABOINDEX	c a b o i n d e x
TRISOX	t r i s o x
KWKW	k w k w
SYJR	s y j r
PDC-	p d c
UHRA	u h r a
Baol	b a o l
Nfor	n f o r
Z.Y.	z y
JJK	j j k
sta	s t a
DPRK's	d p r k's
WAPDA	w a p d a
GAP	g a p
MLLT	m l l t
WUAs	w u a's
hvarf	h v a r f
EIC's	e i c's
AUSPICIO	a u s p i c i o
THNN	t h n n
TNS-	t n s
C.J.R.	c j r
dlia	d l i a
URBACT	u r b a c t
SKG	s k g
BMSA	b m s a
GAM's	g a m's
mPOA	m p o a
BNST	b n s t
KAPITEN	k a p i t e n
ij	i j
Snoj	s n o j
DFP	d f p
DIFP	d i f p
FO	f o
NEVOD	n e v o d
RZR	r z r
RARAF	r a r a f
WWCOT	w w c o t
CTBTO	c t b t o
NEXTV	n e x t v
AGICOS	a g i c o s
CNs	c n's
RALD	r a l d
RASAT	r a s a t
TUBITAK	t u b i t a k
UZAY	u z a y
NASSP	n a s s p
NFAT	n f a t
NFATc	n f a t c
Ov	o v
SEARSOLIN	s e a r s o l i n
CSCE	c s c e
Shéba	s h e acute b a
CCIAA	c c i a a
NFIB	n f i b
NYSFBC	n y s f b c
NORE	n o r e
DPRK-	d p r k
GLBTQ	g l b t q
cRel	c r e l
N. Q.	n q
JNIH-	j n i h
ABCC	a b c c
Ferl	f e r l
RASA	r a s a
BMAA	b m a a
PDGF	p d g f
LXXX	l x x x
EKLR	e k l r
AKR-	a k r
RATP	r a t p
WPO	w p o
échecs	e acute c h e c's
pvr	p v r
NAR	n a r
V. C. M.	v c m
J.D.F.	j d f
TRSI	t r s i
KORISLIIGA	k o r i s l i i g a
AICPS	a i c p s
LGC	l g c
LGD-	l g d
RBBP	r b b p
LGD	l g d
GBX	g b x
OSK	o s k
WVa	w v a
EXPINT-	e x p i n t
ERCS	e r c s
LEM-	l e m
GBV-	g b v
AIPR	a i p r
UbcM	u b c m
MPHRO	m p h r o
SSJA	s s j a
LGR	l g r
CFBISD	c f b i s d
AICPA	a i c p a
LGV	l g v
portr	p o r t r
AIP's	a i p's
JDC	j d c
DDSB	d d s b
Epi	e p i
INPE	i n p e
Koj	k o j
EDMW	e d m w
Dwedw	d w e d w
FODSA	f o d s a
PBF	p b f
R.A.J.	r a j
CGKD	c g k d
PHF	p h f
OPMs	o p m's
LLHS	l l h s
QFSM	q f s m
XeF	x e f
VLA	v l a
sgml	s g m l
SGML-	s g m l
PIDE	p i d e
wgn	w g n
Amm	a m m
GCNT	g c n t
RBM	r b m
TBV	t b v
ATCC	a t c c
MTAs	m t a's
ALT	a l t
uu	u u
KNX-	k n x
LHICE	l h i c e
RCTS	r c t s
HPENG	h p e n g
R.W.R.J.	r w r j
ZrI	z r i
LHFP	l h f p
HMGIC	h m g i c
hscy	h s c y
RBMG's	r b m g's
RBMG	r b m g
SLCUSD	s l c u s d
XeCl	x e c l
Raffl	r a f f l
CFRP	c f r p
LHX	l h x
RBMY	r b m y
MTZ-	m t z
RIPO	r i p o
LIBR	l i b r
LIBSVM	l i b s v m
SMO	s m o
GDAP	g d a p
GDDR	g d d r
CVHS	c v h s
EQAO	e q a o
Bais	b a i's
Dhas	d h a's
SEERAD	s e e r a d
Ielpi	i e l p i
NGK	n g k
GDP-	g d p
atcc	a t c c
Ngly	n g l y
Y. T.	y t
NCRC	n c r c
Apo's	a p o's
ZDR	z d r
MRTs	m r t's
NTF	n t f
SVW	s v w
E. F. W.	e f w
PDFAR	p d f a r
AMATYC	a m a t y c
TTH	t t h
NFH	n f h
ACIA	a c i a
lef	l e f
hebt	h e b t
LINCLINC	l i n c l i n c
DescriptionPDP-	d e s c r i p t i o n p d p
GEHA	g e h a
A.M.K.	a m k
NDLII	n d l i i
WFL	w f l
ETCS	e t c s
CCWD	c c w d
PFFL	p f f l
ihm	i h m
AMSA	a m s a
NTB	n t b
Seaspark-	s e a s p a r k
Priv	p r i v
NAFH	n a f h
SPME	s p m e
PCHR	p c h r
GEMA's	g e m a's
C. E. T.	c e t
P.U.F.	p u f
VWs	v w's
C&F	c and f
UGCCWA	u g c c w a
OWIU	o w i u
NMS	n m s
Alcée	a l c e acute e
SNLA	s n l a
H. A. M.	h a m
WIFLP	w i f l p
CEAPAC	c e a p a c
Hujr	h u j r
LLPFX	l l p f x
DCSS	d c s s
nhl	n h l
KOS-	k o s
RFJ	r f j
CEMAC	c e m a c
DLG	d l g
aPKC	a p k c
T.J.F.	t j f
XGEN	x g e n
WLAN	w l a n
RGASPI	r g a s p i
GEOM	g e o m
afc	a f c
CSCR	c s c r
PMGSY	p m g s y
WEDO	w e d o
AOTA	a o t a
BCATP	b c a t p
OWM	o w m
U.T.	u t
Itil	i t i l
SNR	s n r
VENTARD	v e n t a r d
CDFI	c d f i
WCAY	w c a y
WCTG	w c t g
WCEO	w c e o
RWEs	r w e's
IHSAA	i h s a a
SPBCL	s p b c l
ATKN	a t k n
GATX	g a t x
Ng'iya	n g i y a
CKND-	c k n d
meu	m e u
SUWN	s u w n
FAEM	f a e m
COFRADIC	c o f r a d i c
GPA-	g p a
A.C.L.	a c l
mov	m o v
NNMUPS	n n m u p s
C.M.S.L.	c m s l
NIBC	n i b c
Xiqu	x i q u
UKC	u k c
OLBs	o l b's
FDL	f d l
Dirs	d i r's
NIIIP	n i i i p
NZiK	n z i k
NIIT	n i i t
KBNZ-	k b n z
KBNZ	k b n z
ln	l n
LZW	l z w
fr	f r
GURTs	g u r t's
GBBI	g b b i
Kra	k r a
KGPH	k g p h
HARESCOM	h a r e s c o m
SBCMT	s b c m t
GDPs	g d p's
W.F.P.	w f p
ois	o i s
RCELP	r c e l p
BSX	b s x
HBR	h b r
CLs	c l's
MSFT	m s f t
M. W. E.	m w e
Dreamr	d r e a m r
WMCT-	w m c t
IORM	i o r m
Pa'l	p a l
O.N.	o n
UNED	u n e d
FOF	f o f
NKOTBSB	n k o t b s b
RAdm	r a d m
LOCAD-	l o c a d
AMASE	a m a s e
nkv	n k v
NKX	n k x
ARTCO	a r t c o
PDAB	p d a b
pDAB	p d a b
GFSR	g f s r
DMS	d m s
Fiévé	f i e acute v e acute
QSY	q s y
KFSN-	k f s n
NAVUG	n a v u g
OMNIAHD	o m n i a h d
ILD	i l d
LOVESPACE	l o v e s p a c e
RMs	r m's
RMLs	r m l's
AICL-	a i c l
NYCB	n y c b
NVIDIA's	n v i d i a's
PNY	p n y
DSW	d s w
AMSO's	a m s o's
Tta	t t a
FKA	f k a
OP's	o p's
UBP	u b p
A. F. T.	a f t
NSAP	n s a p
IZBAN	i z b a n
RTHK's	r t h k's
RFCs	r f c's
KSKJ	k s k j
RKG-	r k g
RY	r y
PERWER	p e r w e r
NIKIET	n i k i e t
VFIL	v f i l
CFTA	c f t a
eene	e e n e
liui	l i u i
T.M.s	t m's
LPK-	l p k
DHNS	d h n s
BENEDICAT	b e n e d i c a t
NSTA	n s t a
uORF	u o r f
ASAS	a s a s
VORTUMNUS	v o r t u m n u s
TEMPORIBUS	t e m p o r i b u s
DIOCLETIANI	d i o c l e t i a n i
MAXIMIANIR	m a x i m i a n i r
WMCAT	w m c a t
AKR	a k r
SDZ	s d z
TVT-	t v t
SECUR	s e c u r
AFJ	a f j
thrombospondin-	t h r o m b o s p o n d i n
NNESTs	n n e s t's
LDL-	l d l
BCAM	b c a m
NNSW	n n s w
TST	t s t
SCNC	s c n c
G.J.B.	g j b
NSSCD	n s s c d
NOAA-	n o a a
GB's	g b's
DRDRAM	d r d r a m
NOAAS	n o a a s
ASGA	a s g a
Q.C.B.	q c b
SCW	s c w
GAC	g a c
WXJ	w x j
ALK	a l k
CSHL	c s h l
RIP	r i p
XPS	x p s
TLRs	t l r's
RGMA	r g m a
Amda	a m d a
